,name,count,phonetics,meta1,soundex
206,Abram,10370,ABRAN,APRM,A165
207,Abran,991,ABRAN,APRN,A165
208,Abrar,145,ABRAR,APRR,A160
209,Abreanna,5,ABRAN,APRN,A165
210,Abree,64,ABRY,APR,A160
211,Abrham,5,ABRAN,APRM,A165
212,Abri,6,ABR,APR,A160
213,Abria,121,ABR,APR,A160
214,Abrian,27,ABRAN,APRN,A165
215,Abriana,1031,ABRAN,APRN,A165
216,Abrianna,2425,ABRAN,APRN,A165
217,Abrie,22,ABRY,APR,A160
218,Abriel,45,ABRAL,APRL,A164
219,Abriella,466,ABRAL,APRL,A164
220,Abrielle,1949,ABRAL,APRL,A164
221,Abril,5804,ABRAL,APRL,A164
222,Abrina,5,ABRAN,APRN,A165
223,Abrish,8,ABRAS,APRX,A162
224,Abron,5,ABRAN,APRN,A165
225,Absidy,6,ABSADY,APST,A123
226,Abu,29,AB,AP,A100
227,Abubakar,86,ABABACAR,APPK,A126
228,Abubakr,47,ABABACR,APPK,A126
229,Abundio,66,ABAND,APNT,A153
230,Aby,10,ABY,AP,A100
231,Abyan,21,ABAN,APN,A150
232,Abygail,1195,ABAGAL,APKL,A124
233,Abygale,6,ABAGAL,APKL,A124
234,Acacia,1405,ACAC,AKK,A200
235,Acadia,71,ACAD,AKT,A230
236,Access,6,AC,AKSS,A200
237,Ace,4657,AC,AK,A200
238,Acelin,7,ACALAN,AKLN,A245
239,Acelyn,41,ACALAN,AKLN,A245
240,Acelynn,125,ACALAN,AKLN,A245
241,Acen,38,ACAN,AKN,A250
242,Acencion,5,ACANCAN,AKNK,A252
243,Aceson,10,ACASAN,AKSN,A250
244,Aceyn,5,ACYN,AKN,A250
245,Achille,34,ACAL,AXL,A240
246,Achilles,931,ACAL,AXLS,A242
247,Acie,233,ACY,AK,A200
248,Ackeem,15,ACAN,AKM,A250
249,Ackley,5,ACLY,AKL,A240
250,Acxel,5,ACXAL,AKL,A240
251,Acy,5,ACY,AK,A200
252,Ada,60497,AD,AT,A300
253,Adabella,32,ADABAL,ATPL,A314
254,Adabelle,14,ADABAL,ATPL,A314
255,Adael,46,ADAL,ATL,A340
256,Adaeze,10,ADAS,ATS,A320
257,Adah,329,AD,AT,A300
258,Adahli,18,ADAL,ATL,A340
259,Adaiah,5,AD,AT,A300
260,Adain,19,ADAN,ATN,A350
261,Adair,476,ADAR,ATR,A360
262,Adal,88,ADAL,ATL,A340
263,Adalae,6,ADAL,ATL,A340
264,Adalay,5,ADALY,ATL,A340
265,Adalberto,3129,ADALBART,ATLP,A341
266,Adalee,862,ADALY,ATL,A340
267,Adaleen,5,ADALAN,ATLN,A345
268,Adaleigh,281,ADALAGH,ATL,A342
269,Adalena,54,ADALAN,ATLN,A345
270,Adalene,39,ADALAN,ATLN,A345
271,Adaley,6,ADALY,ATL,A340
272,Adalhi,5,ADAL,ATL,A340
273,Adali,98,ADAL,ATL,A340
274,Adalia,449,ADAL,ATL,A340
275,Adalid,5,ADALAD,ATLT,A343
276,Adalie,380,ADALY,ATL,A340
277,Adalin,5,ADALAN,ATLN,A345
278,Adalina,337,ADALAN,ATLN,A345
279,Adalind,35,ADALAD,ATLN,A345
280,Adaline,1783,ADALAN,ATLN,A345
281,Adaliz,27,ADAL,ATLS,A342
282,Adaly,163,ADALY,ATL,A340
283,Adalyn,12536,ADALAN,ATLN,A345
284,Adalyna,7,ADALAN,ATLN,A345
285,Adalyne,37,ADALAN,ATLN,A345
286,Adalynn,10749,ADALAN,ATLN,A345
287,Adalynne,139,ADALAN,ATLN,A345
288,Adam,534761,ADAN,ATM,A350
289,Adama,170,ADAN,ATM,A350
290,Adamari,1108,ADANAR,ATMR,A356
291,Adamaris,2084,ADANAR,ATMR,A356
292,Adamariz,27,ADANAR,ATMR,A356
293,Adamary,270,ADANARY,ATMR,A356
294,Adamarys,17,ADANARY,ATMR,A356
295,Adams,50,ADAN,ATMS,A352
296,Adan,22791,ADAN,ATN,A350
297,Adanelly,5,ADANALY,ATNL,A354
298,Adanely,8,ADANALY,ATNL,A354
299,Adanna,41,ADAN,ATN,A350
300,Adanya,5,ADAN,ATN,A350
301,Adara,398,ADAR,ATR,A360
302,Adarian,6,ADARAN,ATRN,A365
303,Adarius,402,ADAR,ATRS,A362
304,Adarsh,128,ADARS,ATRX,A362
305,Adaya,111,ADY,AT,A300
306,Adayah,6,ADY,AT,A300
307,Adda,53,AD,AT,A300
308,Addalie,5,ADALY,ATL,A340
309,Addalyn,871,ADALAN,ATLN,A345
310,Addalynn,441,ADALAN,ATLN,A345
311,Addam,27,ADAN,ATM,A350
312,Addeline,10,ADALAN,ATLN,A345
313,Addelyn,763,ADALAN,ATLN,A345
314,Addelynn,75,ADALAN,ATLN,A345
315,Addie,26005,ADY,AT,A300
316,Addilyn,3085,ADALAN,ATLN,A345
317,Addilynn,1146,ADALAN,ATLN,A345
318,Addis,10,AD,ATS,A320
319,Addisen,312,ADASAN,ATSN,A325
320,Addison,111482,ADASAN,ATSN,A325
321,Addisson,6,ADASAN,ATSN,A325
322,Addisyn,6572,ADASAN,ATSN,A325
323,Addy,95,ADY,AT,A300
324,Addysen,281,ADASAN,ATSN,A325
325,Addyson,12751,ADASAN,ATSN,A325
326,Adedamola,12,ADADANAL,ATTM,A354
327,Adeeb,5,ADAB,ATP,A310
328,Adeel,11,ADAL,ATL,A340
329,Adeena,10,ADAN,ATN,A350
330,Adel,423,ADAL,ATL,A340
331,Adela,8163,ADAL,ATL,A340
332,Adelai,5,ADAL,ATL,A340
333,Adelaida,1455,ADALAD,ATLT,A343
334,Adelaide,15971,ADALAD,ATLT,A343
335,Adelaido,36,ADALAD,ATLT,A343
336,Adelaine,10,ADALAN,ATLN,A345
337,Adelard,177,ADALAD,ATLR,A346
338,Adelayda,5,ADALYD,ATLT,A343
339,Adelbert,582,ADALBAD,ATLP,A341
340,Adele,29275,ADAL,ATL,A340
341,Adeleine,6,ADALAN,ATLN,A345
342,Adelene,92,ADALAN,ATLN,A345
343,Adelfa,283,ADALF,ATLF,A341
344,Adelfina,5,ADALFAN,ATLF,A341
345,Adelia,728,ADAL,ATL,A340
346,Adelie,44,ADALY,ATL,A340
347,Adelin,47,ADALAN,ATLN,A345
348,Adelina,6922,ADALAN,ATLN,A345
349,Adeline,37738,ADALAN,ATLN,A345
350,Adelino,16,ADALAN,ATLN,A345
351,Adelisa,6,ADALAS,ATLS,A342
352,Adelita,880,ADALAT,ATLT,A343
353,Adell,3403,ADAL,ATL,A340
354,Adella,1478,ADAL,ATL,A340
355,Adelle,1498,ADAL,ATL,A340
356,Adelmira,20,ADALNAR,ATLM,A345
357,Adelyn,10035,ADALAN,ATLN,A345
358,Adelyne,73,ADALAN,ATLN,A345
359,Adelynn,5271,ADALAN,ATLN,A345
360,Adelynne,47,ADALAN,ATLN,A345
361,Adem,247,ADAN,ATM,A350
362,Aden,16157,ADAN,ATN,A350
363,Adena,189,ADAN,ATN,A350
364,Adenike,6,ADANAC,ATNK,A352
365,Adeola,5,ADAL,ATL,A340
366,Aderinsola,5,ADARANSAL,ATRN,A365
367,Aderonke,6,ADARANC,ATRN,A365
368,Adessa,5,ADAS,ATS,A320
369,Adetokunbo,5,ADATACANB,ATTK,A325
370,Adger,26,AGAR,AJR,A326
371,Adgie,5,AGY,AJ,A320
372,Adham,165,ADAN,ATM,A350
373,Adhara,5,ADAR,ATR,A360
374,Adhemar,13,ADANAR,ATMR,A356
375,Adhrit,34,ADHRAT,ATRT,A363
376,Adhvik,23,ADHVAC,ATFK,A312
377,Adhya,39,ADH,AT,A300
378,Adi,264,AD,AT,A300
379,Adia,984,AD,AT,A300
380,Adian,255,ADAN,ATN,A350
381,Adiana,6,ADAN,ATN,A350
382,Adianez,5,ADAN,ATNS,A352
383,Adianna,6,ADAN,ATN,A350
384,Adib,11,ADAB,ATP,A310
385,Adiba,27,ADAB,ATP,A310
386,Adiel,668,ADAL,ATL,A340
387,Adien,30,ADAN,ATN,A350
388,Adil,386,ADAL,ATL,A340
389,Adilee,11,ADALY,ATL,A340
390,Adilene,3972,ADALAN,ATLN,A345
391,Adileni,5,ADALAN,ATLN,A345
392,Adilenne,6,ADALAN,ATLN,A345
393,Adilyn,795,ADALAN,ATLN,A345
394,Adilynn,926,ADALAN,ATLN,A345
395,Adin,1291,ADAN,ATN,A350
396,Adina,3314,ADAN,ATN,A350
397,Adir,11,ADAR,ATR,A360
398,Adira,78,ADAR,ATR,A360
399,Adison,1966,ADASAN,ATSN,A325
400,Adisyn,288,ADASAN,ATSN,A325
401,Adit,22,ADAT,ATT,A300
402,Adithi,32,ADAT,AT0,A300
403,Adithya,112,ADATH,AT0,A300
404,Aditi,1871,ADAT,ATT,A300
405,Aditya,3379,ADAT,ATT,A300
406,Adja,5,ADJ,ATJ,A320
407,Adlai,6,ADL,ATL,A340
408,Adlee,64,ADLY,ATL,A340
409,Adleigh,206,ADLAGH,ATL,A342
410,Adler,626,ADLAR,ATLR,A346
411,Adley,1017,ADLY,ATL,A340
412,Adline,115,ADLAN,ATLN,A345
413,Admir,16,ADNAR,ATMR,A356
414,Adna,69,ADN,ATN,A350
415,Adnan,968,ADNAN,ATNN,A350
416,Adolf,317,ADALF,ATLF,A341
417,Adolfo,12824,ADALF,ATLF,A341
418,Adolph,12372,ADALF,ATLF,A341
419,Adolphe,5,ADALF,ATLF,A341
420,Adolphus,1411,ADALF,ATLF,A341
421,Adon,66,ADAN,ATN,A350
422,Adonai,162,ADAN,ATN,A350
423,Adonay,46,ADANY,ATN,A350
424,Adonijah,10,ADANAJ,ATNJ,A352
425,Adonis,5071,ADAN,ATNS,A352
426,Adonna,5,ADAN,ATN,A350
427,Adonnis,10,ADAN,ATNS,A352
428,Adonys,21,ADANY,ATNS,A352
429,Adora,168,ADAR,ATR,A360
430,Adore,17,ADAR,ATR,A360
431,Adrain,1438,ADRAN,ATRN,A365
432,Adrea,17,ADR,ATR,A360
433,Adrean,111,ADRAN,ATRN,A365
434,Adreana,147,ADRAN,ATRN,A365
435,Adreanna,359,ADRAN,ATRN,A365
436,Adreena,15,ADRAN,ATRN,A365
437,Adrena,10,ADRAN,ATRN,A365
438,Adria,2318,ADR,ATR,A360
439,Adrian,225459,ADRAN,ATRN,A365
440,Adriana,82700,ADRAN,ATRN,A365
441,Adriane,3297,ADRAN,ATRN,A365
442,Adriann,38,ADRAN,ATRN,A365
443,Adrianna,40508,ADRAN,ATRN,A365
444,Adrianne,9230,ADRAN,ATRN,A365
445,Adriano,869,ADRAN,ATRN,A365
446,Adric,10,ADRAC,ATRK,A362
447,Adrick,5,ADRAC,ATRK,A362
448,Adrie,10,ADRY,ATR,A360
449,Adrieanna,5,ADRAN,ATRN,A365
450,Adriel,7259,ADRAL,ATRL,A364
451,Adrielle,91,ADRAL,ATRL,A364
452,Adrien,4788,ADRAN,ATRN,A365
453,Adriene,729,ADRAN,ATRN,A365
454,Adrienna,27,ADRAN,ATRN,A365
455,Adrienne,61725,ADRAN,ATRN,A365
456,Adrik,47,ADRAC,ATRK,A362
457,Adrin,5,ADRAN,ATRN,A365
458,Adrina,453,ADRAN,ATRN,A365
459,Adrion,5,ADRAN,ATRN,A365
460,Adrionna,111,ADRAN,ATRN,A365
461,Adron,67,ADRAN,ATRN,A365
462,Adryan,287,ADRAN,ATRN,A365
463,Adryana,46,ADRAN,ATRN,A365
464,Adryanna,46,ADRAN,ATRN,A365
465,Adryel,6,ADRAL,ATRL,A364
466,Advait,79,ADVAT,ATFT,A313
467,Advaith,139,ADVATH,ATF0,A313
468,Advay,60,ADVY,ATF,A310
469,Advik,173,ADVAC,ATFK,A312
470,Advika,64,ADVAC,ATFK,A312
471,Advit,5,ADVAT,ATFT,A313
472,Advith,10,ADVATH,ATF0,A313
473,Adwoa,5,ADW,AT,A300
474,Adya,27,AD,AT,A300
475,Adyan,90,ADAN,ATN,A350
476,Adylene,70,ADALAN,ATLN,A345
477,Adyline,5,ADALAN,ATLN,A345
478,Adyn,414,ADAN,ATN,A350
479,Adysen,146,ADASAN,ATSN,A325
480,Adyson,2815,ADASAN,ATSN,A325
481,Aedan,1965,ADAN,ATN,A350
482,Aeden,275,ADAN,ATN,A350
483,Aedyn,51,ADAN,ATN,A350
484,Aeisha,13,AS,AX,A200
485,Aela,15,AL,AL,A400
486,Aeneas,33,AN,ANS,A520
487,Aerabella,18,ARABAL,ARPL,A614
488,Aerial,598,ARAL,ARL,A640
489,Aeriana,17,ARAN,ARN,A650
490,Aerianna,6,ARAN,ARN,A650
491,Aerick,5,ARAC,ARK,A620
492,Aeriel,75,ARAL,ARL,A640
493,Aerilyn,5,ARALAN,ARLN,A645
494,Aerin,69,ARAN,ARN,A650
495,Aeris,342,AR,ARS,A620
496,Aerith,10,ARATH,AR0,A630
497,Aero,17,AR,AR,A600
498,Aeron,17,ARAN,ARN,A650
499,Aeryn,170,ARAN,ARN,A650
500,Aesha,34,AS,AX,A200
501,Aeson,36,ASAN,ASN,A250
502,Aeva,50,AF,AF,A100
503,Affan,49,AFAN,AFN,A150
504,Afia,75,AF,AF,A100
505,Afiya,20,AFY,AF,A100
506,Afnan,11,AFNAN,AFNN,A150
507,Afra,6,AFR,AFR,A160
508,Afreen,20,AFRAN,AFRN,A165
509,Africa,141,AFRAC,AFRK,A162
510,Afrika,7,AFRAC,AFRK,A162
511,Afsa,5,AFS,AFS,A120
512,Afsana,33,AFSAN,AFSN,A125
513,Afsheen,8,AFSAN,AFXN,A125
514,Afton,2271,AFTAN,AFTN,A135
515,Aftyn,10,AFTAN,AFTN,A135
516,Afua,10,AF,AF,A100
517,Agam,28,AGAN,AKM,A250
518,Agapita,117,AGAPAT,AKPT,A213
519,Agapito,954,AGAPAT,AKPT,A213
520,Agastya,116,AGAST,AKST,A230
521,Agata,16,AGAT,AKT,A230
522,Agatha,3284,AGAT,AK0,A230
523,Ageliki,5,AGALAC,AJLK,A242
524,Agena,5,AGAN,AJN,A250
525,Aggie,133,AGY,AJ,A200
526,Agim,5,AGAN,AJM,A250
527,Agnes,114712,AGN,AKNS,A252
528,Agness,18,AGN,AKNS,A252
529,Agnew,5,AGN,AKN,A250
530,Agnieszka,87,AGNASC,AKNS,A252
531,Agostino,64,AGASTAN,AKST,A235
532,Agripina,52,AGRAPAN,AKRP,A261
533,Agron,15,AGRAN,AKRN,A265
534,Agueda,41,AGAD,AKT,A230
535,Agustin,11705,AGASTAN,AKST,A235
536,Agustina,678,AGASTAN,AKST,A235
537,Agustine,105,AGASTAN,AKST,A235
538,Ah,63,AH,A,A000
539,Ahaan,95,AN,AHN,A500
540,Ahad,58,AD,AHT,A300
541,Ahan,11,AN,AHN,A500
542,Ahana,184,AN,AHN,A500
543,Aharon,1097,ARAN,AHRN,A650
544,Ahkeem,7,AHCAN,AKM,A250
545,Ahlam,107,AHLAN,ALM,A450
546,Ahlana,5,AHLAN,ALN,A450
547,Ahliyah,5,AHLY,AL,A400
548,Ahmad,14116,AHNAD,AMT,A530
549,Ahmadou,6,AHNAD,AMT,A530
550,Ahmani,16,AHNAN,AMN,A500
551,Ahmari,254,AHNAR,AMR,A560
552,Ahmarion,5,AHNARAN,AMRN,A565
553,Ahmaud,5,AHNAD,AMT,A530
554,Ahmed,10619,AHNAD,AMT,A530
555,Ahmet,61,AHNAT,AMT,A530
556,Ahmid,5,AHNAD,AMT,A530
557,Ahmir,1019,AHNAR,AMR,A560
558,Ahmiyah,7,AHNY,AM,A500
559,Ahmod,6,AHNAD,AMT,A530
560,Ahmya,21,AHN,AM,A500
561,Ahna,50,AHN,AN,A500
562,Ahnaf,102,AHNAF,ANF,A510
563,Ahniah,5,AHN,AN,A500
564,Ahniya,21,AHNY,AN,A500
565,Ahniyah,5,AHNY,AN,A500
566,Ahren,21,AHRAN,ARN,A650
567,Ahri,17,AHR,AR,A600
568,Ahriana,5,AHRAN,ARN,A650
569,Ahron,460,AHRAN,ARN,A650
570,Ahsan,65,AHSAN,ASN,A250
571,Ahsley,481,AHSLY,ASL,A240
572,Ahtziri,570,AHTSAR,ATSR,A326
573,Ahtziry,75,AHTSARY,ATSR,A326
574,Ahuva,792,AV,AHF,A100
575,Ahyan,11,AHAN,AHN,A500
576,Ai,34,,A,A000
577,Aicha,269,AC,AX,A200
578,Aida,8997,AD,AT,A300
579,Aidaly,5,ADALY,ATL,A340
580,Aidan,104728,ADAN,ATN,A350
581,Aidana,7,ADAN,ATN,A350
582,Aidden,33,ADAN,ATN,A350
583,Aide,1266,AD,AT,A300
584,Aidee,361,ADY,AT,A300
585,Aideen,5,ADAN,ATN,A350
586,Aidel,137,ADAL,ATL,A340
587,Aideliz,54,ADAL,ATLS,A342
588,Aiden,171629,ADAN,ATN,A350
589,Aidenn,18,ADAN,ATN,A350
590,Aidin,102,ADAN,ATN,A350
591,Aidon,23,ADAN,ATN,A350
592,Aidric,52,ADRAC,ATRK,A362
593,Aidsa,9,ADS,ATS,A320
594,Aidy,12,ADY,AT,A300
595,Aidyn,2428,ADAN,ATN,A350
596,Aidynn,6,ADAN,ATN,A350
597,Aiesha,306,AS,AX,A200
598,Aigner,130,AGNAR,ANR,A256
599,Aijah,11,AJ,AJ,A200
600,Aika,5,AC,AK,A200
601,Aikeem,5,ACAN,AKM,A250
602,Aiken,5,ACAN,AKN,A250
603,Aiko,573,AC,AK,A200
604,Aila,535,AL,AL,A400
605,Ailah,5,AL,AL,A400
606,Ailani,874,ALAN,ALN,A450
607,Ailanie,5,ALANY,ALN,A450
608,Ailany,128,ALANY,ALN,A450
609,Ailea,14,AL,AL,A400
610,Ailed,71,ALAD,ALT,A430
611,Ailee,38,ALY,AL,A400
612,Aileen,27093,ALAN,ALN,A450
613,Aileene,5,ALAN,ALN,A450
614,Ailen,22,ALAN,ALN,A450
615,Ailene,404,ALAN,ALN,A450
616,Aileth,8,ALATH,AL0,A430
617,Ailey,107,ALY,AL,A400
618,Aili,205,AL,AL,A400
619,Ailie,62,ALY,AL,A400
620,Ailin,388,ALAN,ALN,A450
621,Ailish,56,ALAS,ALX,A420
622,Ailton,13,ALTAN,ALTN,A435
623,Aily,14,ALY,AL,A400
624,Ailyn,2100,ALAN,ALN,A450
625,Ailynn,93,ALAN,ALN,A450
626,Aiman,10,ANAN,AMN,A500
627,Aimar,50,ANAR,AMR,A560
628,Aime,983,AN,AM,A500
629,Aimee,49272,ANY,AM,A500
630,Aimie,17,ANY,AM,A500
631,Aimme,5,AN,AM,A500
632,Aina,7,AN,AN,A500
633,Ainara,66,ANAR,ANR,A560
634,Aine,415,AN,AN,A500
635,Ainhoa,22,AN,AN,A500
636,Aino,5,AN,AN,A500
637,Ainslee,212,ANSLY,ANSL,A524
638,Ainsleigh,21,ANSLAGH,ANSL,A524
639,Ainsley,11916,ANSLY,ANSL,A524
640,Ainslie,34,ANSLY,ANSL,A524
641,Aira,36,AR,AR,A600
